wallet,trade_count,total_volume_usd,distinct_tokens,active_days,maker_fraction,avg_trade_size,std_trade_size,max_trade_size,trades_per_day,hour_entropy,buy_fraction,avg_price,longshot_ratio,resolved_trade_count,win_rate,excess_return,total_pnl,trade_size_cv
0x585bEf2dC5B122bb8B93Dd421f32dd1ca2f4753f,25865,8401131.641289989,834,281,0.8502223081384109,324.80694534274073,1841.406063910786,89871.81328,92.04626334519573,0.9653483608657386,0.5257297506282621,0.6632390138699964,0.0774378585086042,25760,0.6115989079908507,-0.0823978472521437,-553933.7144579996,5.669232417329344
0x885783760858e1Bd5DD09A3c3F916cfa251ac270,7736,8301372.082848001,14,9,0.8376421923474664,1073.0832578655638,7249.45906698738,238523.17986,859.5555555555555,0.8742161940311349,0.920243019648397,0.5420798350720586,0.0,7736,1.0,0.9888421293510667,6656009.266855,6.755728424471975
0xf59DB7EF18f784e17862c182D1134D5c8Df38F85,16466,8183535.317107007,1004,21,0.9998785375926152,496.99595026764285,1617.4187416310572,19980.0,784.0952380952381,0.8896246642887332,0.9999392687963076,0.9989390258714684,0.0,16443,1.0,0.0010013677300962,8181.748270000003,3.2543901831796473
0x54B56146656e7eef9DA02b3A030c18e06e924B31,55007,8169256.738557002,4542,355,0.7484865562564764,148.513039041522,488.5342173426622,46805.709,154.94929577464788,0.977536792508688,0.5292053738615086,0.4736461401024195,0.1306080384747509,51347,0.4630390143737166,-0.0659848684478458,79435.93778599972,3.289503874512159
0xb75CeBBe80b305BaEeB125e05D0EE09EB58E2159,7051,8082671.870160998,258,239,0.8221528861154446,1146.3156814864556,3169.5837464429087,73698.6558,29.502092050209207,0.9772068242943884,0.6803290313430719,0.8096088421760742,0.0131332082551594,7045,0.9198497182216656,0.0868831293746582,329617.5734450003,2.76501822110017
0x16f91Db2592924cfEd6e03B7E5cB5bB1E32299e3,7671,7526416.3430290045,18,5,0.8435666797027767,981.151915399427,6284.519838310724,159275.64944,1534.2,0.8030836152424163,0.9331247555729372,0.5874163861551871,0.0,7671,0.9984632578932664,0.7181882908282297,4603866.860369001,6.405246465581525
0x44A1159b925C145E70F746BB3F0F58380553bD21,24317,7506275.745358,1345,260,0.9131471809844964,308.6842844659292,1361.9472057650453,66763.02636,93.52692307692308,0.983568307086492,0.751079491713616,0.4439229097126647,0.2748576434515988,23562,0.4082121566661095,-0.2249725192044949,-100356.20278300036,4.412104128078374
0x343D4466Dc323B850E5249394894C7381D91456e,1437,7474702.304058999,59,4,0.5762004175365344,5201.602160096729,13747.579710931192,173068.0766,359.25,0.7180489200003256,0.616562282533055,0.4886224134092392,0.0,1437,0.7065462753950339,0.444015533527782,2621260.1728890003,2.642951015437817
0x6480542954B70a674A74Bd1A6015Dec362dC8dC5,306943,7378596.403731988,907,296,0.9702029367016026,24.03897923631419,1524.6962822146304,486528.91133,1036.9695945945946,0.984987382239143,0.5816812893599137,0.0175569262004998,0.9794839338422676,248165,0.0090677037393419,-0.9772306762289276,-457990.9607980006,63.4259993831754
0x785Ac8DBfE82b9940A6A5BF2be530F2ED982E4b9,66,7221326.130988373,0,2,0.0,109414.03228770263,426132.5938006445,3164329.22751,33.0,0.4066770520126929,1.0,0.7427442374296026,0.0,0,0.0,0.0,0.0,3.8946795478676344
0x218f912f8d88Cc6Ec06A5f812231D68602c77Ef2,4325,7202317.891492999,306,187,0.7872832369942196,1665.2758130619652,7715.3396156584595,194042.35658,23.128342245989305,0.9767850202866742,0.5747976878612717,0.6003811305595347,0.2160096540627514,4293,0.5526421944332393,0.6090183362314401,7948.169455999999,4.633070122763724
0x684bC3eB000bFF0979D14b60CC74861736150601,89459,7196486.134948005,1153,153,0.9731832459562482,80.44451799090092,780.9247537801496,77999.78718,584.6993464052288,0.9911099598823212,0.6117774623011659,0.1140568726636205,0.8321547991010251,89401,0.0929135585783238,-0.8630035757877312,-695993.5435869996,9.707619279519829
